association_id,association_name,abbreviation
1,Bahnengolfverband Berlin-Brandenburg,BBS
2,Bayerischer Minigolfsport Verband,BMV
3,Bremer Minigolfsportverband,BVS
4,Brandenburgischer Bahnengolfverband,BVBB
5,Bahnengolfverband Sachsen-Anhalt,BVSA
6,Hamburger Bahnengolf Verband,HBV
7,Hessischer Bahnengolf Sportverband,HBSV
8,Minigolfverband Rheinland-Pfalz,MRP
9,Minigolfverband Niedersachsen/Bremen,MVBN
10,Nordrhein-Westfälischer Bahnengolf-Verband,NBV
11,Saarländischer Minigolfsport-Verband,SaarMV
12,Schleswig-Holsteinischer Minigolf-Verband,SHMV
13,Württembergischer Bahnengolfverband,WBV
