dmv_entry_id,player_id,pass_number,year,date,tournament_id,tournament_name,location,category,place,rating_value,identity_status,source
DMV-060001,66934.0,66934.0,2022,2022-06-26,2022-06-26-Schriesheim,,,,,102.827,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-060002,66936.0,66936.0,2022,2022-05-08,2022-05-08-Neu_Wulmstorf,,,,,104.093,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-060003,66945.0,66945.0,2022,2022-04-10,2022-04-10-Georgsmarienhütte,,,,,107.179,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-060004,66945.0,66945.0,2022,2022-04-23,2022-04-23-Wallenhorst_Rulle,,,,,102.865,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-060005,66945.0,66945.0,2022,2022-05-01,2022-05-01-Wallenhorst_Rulle,,,,,104.364,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-060006,66945.0,66945.0,2022,2022-05-15,2022-05-15-Osnabrück,,,,,105.357,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-060007,66945.0,66945.0,2022,2022-06-12,2022-06-12-Bad_Salzuflen,,,,,105.429,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-060008,66945.0,66945.0,2022,2022-06-22,2022-06-22-Wallenhorst_Rulle,,,,,100.314,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-060009,66945.0,66945.0,2022,2022-09-04,2022-09-04-Wallenhorst_Rulle,,,,,104.293,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-060010,66946.0,66946.0,2022,2022-04-10,2022-04-10-Wallenhorst_Rulle,,,,,99.181,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-060011,66946.0,66946.0,2022,2022-05-01,2022-05-01-Gladbeck,,,,,100.626,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-060012,66946.0,66946.0,2022,2022-05-15,2022-05-15-Büttgen,,,,,99.966,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-060013,66946.0,66946.0,2022,2022-06-12,2022-06-12-Dormagen_Hackenbroich,,,,,102.375,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-060014,66946.0,66946.0,2022,2022-07-09,2022-07-09-Neheim_Hüsten,Hobbyturnier,Ingelfingen,,,101.057,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-060015,66946.0,66946.0,2022,2022-09-04,2022-09-04-Mönchengladbach,,,,,101.64,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-060016,66946.0,66946.0,2022,2022-12-17,2022-12-17-Halver_Halle,,,,,103.331,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-060017,66949.0,66949.0,2022,2022-03-12,2022-03-12-Odense,,,,,100.187,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
