result_id,player_id,tournament_id,club_id,place,total_score,average,category,identity_status,source
10054|2023-0003-03,10054,2023-0003-03,,,200,28.571428571428573,,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2023-07-02-Hammer,10054,2023-07-02-Hammer,,,52,26.0,,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2023-07-23-Ingolstadt_Baggersee,10054,2023-07-23-Ingolstadt_Baggersee,,,99,24.75,,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2023-08-06-Landshut,10054,2023-08-06-Landshut,,,70,23.333333333333332,,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2024-0131-09,10054,2024-0131-09,,,117,29.25,,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2024-0066-09,10054,2024-0066-09,,,188,31.333333333333332,,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2024-03-31-Landshut,10054,2024-03-31-Landshut,,,88,29.333333333333332,,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2024-04-07-Olching,10054,2024-04-07-Olching,,,94,47.0,,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2024-07-07-Wolnzach,10054,2024-07-07-Wolnzach,,,82,27.333333333333332,,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2024-08-04-Landshut,10054,2024-08-04-Landshut,,,67,22.333333333333332,,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2024-0058-05,10054,2024-0058-05,,,162,27.0,,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2024-0132-16,10054,2024-0132-16,,,147,29.4,,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2025-0133-18,10054,2025-0133-18,,,245,30.625,,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2025-0031-05,10054,2025-0031-05,,,102,34.0,,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2025-07-06-Wolnzach,10054,2025-07-06-Wolnzach,,,98,24.5,,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2025-07-13-Ingolstadt_Baggersee,10054,2025-07-13-Ingolstadt_Baggersee,,,107,26.75,,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2025-07-20-Landshut,10054,2025-07-20-Landshut,,,93,23.25,,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2025-08-03-Höchberg,10054,2025-08-03-Höchberg,,,82,27.333333333333332,,pass_verified,DMV Ergebnisarchiv 2015-2025
