round_id,result_id,player_id,tournament_id,round_no,score,identity_status,source
10054|2023-0003-03-1,10054|2023-0003-03,10054,2023-0003-03,1,26,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2023-0003-03-2,10054|2023-0003-03,10054,2023-0003-03,2,30,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2023-0003-03-3,10054|2023-0003-03,10054,2023-0003-03,3,26,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2023-0003-03-4,10054|2023-0003-03,10054,2023-0003-03,4,29,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2023-0003-03-5,10054|2023-0003-03,10054,2023-0003-03,5,32,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2023-0003-03-6,10054|2023-0003-03,10054,2023-0003-03,6,30,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2023-0003-03-7,10054|2023-0003-03,10054,2023-0003-03,7,27,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2023-07-02-Hammer-1,10054|2023-07-02-Hammer,10054,2023-07-02-Hammer,1,25,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2023-07-02-Hammer-2,10054|2023-07-02-Hammer,10054,2023-07-02-Hammer,2,27,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2023-07-23-Ingolstadt_Baggersee-1,10054|2023-07-23-Ingolstadt_Baggersee,10054,2023-07-23-Ingolstadt_Baggersee,1,22,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2023-07-23-Ingolstadt_Baggersee-2,10054|2023-07-23-Ingolstadt_Baggersee,10054,2023-07-23-Ingolstadt_Baggersee,2,26,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2023-07-23-Ingolstadt_Baggersee-3,10054|2023-07-23-Ingolstadt_Baggersee,10054,2023-07-23-Ingolstadt_Baggersee,3,24,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2023-07-23-Ingolstadt_Baggersee-4,10054|2023-07-23-Ingolstadt_Baggersee,10054,2023-07-23-Ingolstadt_Baggersee,4,27,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2023-08-06-Landshut-1,10054|2023-08-06-Landshut,10054,2023-08-06-Landshut,1,24,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2023-08-06-Landshut-2,10054|2023-08-06-Landshut,10054,2023-08-06-Landshut,2,21,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2023-08-06-Landshut-3,10054|2023-08-06-Landshut,10054,2023-08-06-Landshut,3,25,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2024-0131-09-1,10054|2024-0131-09,10054,2024-0131-09,1,31,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2024-0131-09-2,10054|2024-0131-09,10054,2024-0131-09,2,31,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2024-0131-09-3,10054|2024-0131-09,10054,2024-0131-09,3,24,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2024-0131-09-4,10054|2024-0131-09,10054,2024-0131-09,4,31,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2024-0066-09-1,10054|2024-0066-09,10054,2024-0066-09,1,28,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2024-0066-09-2,10054|2024-0066-09,10054,2024-0066-09,2,32,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2024-0066-09-3,10054|2024-0066-09,10054,2024-0066-09,3,34,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2024-0066-09-4,10054|2024-0066-09,10054,2024-0066-09,4,34,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2024-0066-09-5,10054|2024-0066-09,10054,2024-0066-09,5,30,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2024-0066-09-6,10054|2024-0066-09,10054,2024-0066-09,6,30,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2024-03-31-Landshut-1,10054|2024-03-31-Landshut,10054,2024-03-31-Landshut,1,26,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2024-03-31-Landshut-2,10054|2024-03-31-Landshut,10054,2024-03-31-Landshut,2,31,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2024-03-31-Landshut-3,10054|2024-03-31-Landshut,10054,2024-03-31-Landshut,3,31,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2024-04-07-Olching-1,10054|2024-04-07-Olching,10054,2024-04-07-Olching,1,45,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2024-04-07-Olching-2,10054|2024-04-07-Olching,10054,2024-04-07-Olching,2,49,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2024-07-07-Wolnzach-1,10054|2024-07-07-Wolnzach,10054,2024-07-07-Wolnzach,1,30,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2024-07-07-Wolnzach-2,10054|2024-07-07-Wolnzach,10054,2024-07-07-Wolnzach,2,23,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2024-07-07-Wolnzach-3,10054|2024-07-07-Wolnzach,10054,2024-07-07-Wolnzach,3,29,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2024-08-04-Landshut-1,10054|2024-08-04-Landshut,10054,2024-08-04-Landshut,1,24,pass_verified,DMV Ergebnisarchiv 2015-2025
10054|2024-08-04-Landshut-2,10054|2024-08-04-Landshut,10054,2024-08-04-Landshut,2,22,pass_verified,DMV Ergebnisarchiv 2015-2025
