tournament_id,date,tournament_name,location,source_code
2015-0001-03,07.-08.11.2015,Grand Prix 2015,Eibenstock,2015-0001-03
2015-0001-04,07.-08.11.2015,Grand Prix 2015,Eibenstock,2015-0001-04
2015-0001-05,07.-08.11.2015,Grand Prix 2015,Eibenstock,2015-0001-05
2015-0001-06,07.-08.11.2015,Grand Prix 2015,Eibenstock,2015-0001-06
2015-0001-07,07.-08.11.2015,Grand Prix 2015,Eibenstock,2015-0001-07
2015-0001-08,07.-08.11.2015,Grand Prix 2015,Eibenstock,2015-0001-08
2015-0001-09,07.-08.11.2015,Grand Prix 2015,Eibenstock,2015-0001-09
2015-0001-10,07.-08.11.2015,Grand Prix 2015,Eibenstock,2015-0001-10
2015-0001-11,07.-08.11.2015,Grand Prix 2015,Eibenstock,2015-0001-11
2015-0004-02,03.10.2015,19. Zwei-Burgen-Turnier,Weinheim,2015-0004-02
2015-0004-03,03.10.2015,19. Zwei-Burgen-Turnier,Weinheim,2015-0004-03
2015-0004-04,03.10.2015,19. Zwei-Burgen-Turnier,Weinheim,2015-0004-04
2015-0004-05,03.10.2015,19. Zwei-Burgen-Turnier,Weinheim,2015-0004-05
2015-0004-06,03.10.2015,19. Zwei-Burgen-Turnier,Weinheim,2015-0004-06
2015-0004-07,03.10.2015,19. Zwei-Burgen-Turnier,Weinheim,2015-0004-07
2015-0004-08,03.10.2015,19. Zwei-Burgen-Turnier,Weinheim,2015-0004-08
2015-0004-09,03.10.2015,19. Zwei-Burgen-Turnier,Weinheim,2015-0004-09
2015-0004-10,03.10.2015,19. Zwei-Burgen-Turnier,Weinheim,2015-0004-10
2015-0004-11,03.10.2015,19. Zwei-Burgen-Turnier,Weinheim,2015-0004-11
2015-0004-12,03.10.2015,19. Zwei-Burgen-Turnier,Weinheim,2015-0004-12
2015-0004-13,03.10.2015,19. Zwei-Burgen-Turnier,Weinheim,2015-0004-13
2015-0004-14,03.10.2015,19. Zwei-Burgen-Turnier,Weinheim,2015-0004-14
2015-0005-03,26.-27.09.2015,8. Heven-Cup 2015,Witten-Heven,2015-0005-03
2015-0005-04,26.-27.09.2015,8. Heven-Cup 2015,Witten-Heven,2015-0005-04
2015-0005-05,26.-27.09.2015,8. Heven-Cup 2015,Witten-Heven,2015-0005-05
2015-0005-06,26.-27.09.2015,8. Heven-Cup 2015,Witten-Heven,2015-0005-06
2015-0005-07,26.-27.09.2015,8. Heven-Cup 2015,Witten-Heven,2015-0005-07
2015-0005-08,26.-27.09.2015,8. Heven-Cup 2015,Witten-Heven,2015-0005-08
2015-0005-09,26.-27.09.2015,8. Heven-Cup 2015,Witten-Heven,2015-0005-09
2015-0005-10,26.-27.09.2015,8. Heven-Cup 2015,Witten-Heven,2015-0005-10
2015-0006-03,19.-20.09.2015,6. Hamburger Minigolf Open,HH-Niendorf,2015-0006-03
2015-0006-04,19.-20.09.2015,6. Hamburger Minigolf Open,HH-Niendorf,2015-0006-04
2015-0006-05,19.-20.09.2015,6. Hamburger Minigolf Open,HH-Niendorf,2015-0006-05
2015-0006-06,19.-20.09.2015,6. Hamburger Minigolf Open,HH-Niendorf,2015-0006-06
2015-0006-07,19.-20.09.2015,6. Hamburger Minigolf Open,HH-Niendorf,2015-0006-07
2015-0006-08,19.-20.09.2015,6. Hamburger Minigolf Open,HH-Niendorf,2015-0006-08
2015-0006-09,19.-20.09.2015,6. Hamburger Minigolf Open,HH-Niendorf,2015-0006-09
